OBJECTID_1,AREA,PERIMETER,AREASYMBOL,SPATIALVER,MUSYM,MUKEY,Shape_Leng,cty_name,mnf_code,descriptio,Shape_Length,Shape_Area
27854,15278.815892,522.654301307,WV602,2.0,ChF,513990,522.654362961,NRand_Tuck,ChF09,"CATEACHE CHANNERY SILT LOAM, 35 TO 65 PERCENT SLOPES",522.6543629613926,15278.81730284313
27858,2365.16782046,248.416144334,WV602,2.0,CaD,513981,248.416149135,NRand_Tuck,CaD09,"CALVIN CHANNERY SILT LOAM, 15 TO 25 PERCENT SLOPES",248.41614913463445,2365.1646047277864
27859,15225.661777,851.136287704,WV602,2.0,DaF,514000,851.136319445,NRand_Tuck,DaF09,"DEKALB CHANNERY LOAM, 35 TO 65 PERCENT SLOPES",851.1363194447572,15225.667472651705
27867,41156.1884075,1299.17681361,WV602,2.0,ChF,513990,1299.17682741,NRand_Tuck,ChF09,"CATEACHE CHANNERY SILT LOAM, 35 TO 65 PERCENT SLOPES",1299.176827408507,41156.19231076686
27878,131768.537688,2129.65553641,WV602,2.0,BnF,513971,2129.65572156,NRand_Tuck,BnF09,"BELMONT CHANNERY SILT LOAM, 35 TO 70 PERCENT SLOPES, VERY STONY",2129.6557215573944,131768.54673732817
27885,2393560.05529,17044.84054,WV602,2.0,DmF,514005,17044.8404723,NRand_Tuck,DmF09,"DEKALB VERY COBBLY LOAM, 35 TO 70 PERCENT SLOPES, RUBBLY",3195.4491962480683,200412.6267151925
27889,20210.0443037,602.300838552,WV602,2.0,ChB,1673048,602.300715795,NRand_Tuck,ChB09,"CATEACHE CHANNERY SILT LOAM, 3 TO 8 PERCENT SLOPES",602.3007157945655,20210.041393773856
27897,4937.9672326,273.798739638,WV602,2.0,CnC,513991,273.798674753,NRand_Tuck,CnC09,"CATEACHE CHANNERY SILT LOAM, 3 TO 15 PERCENT SLOPES, RUBBLY",273.798674753048,4937.965639515077
27922,10553.5275522,456.34824283,WV602,2.0,ChD,513988,456.348245101,NRand_Tuck,ChD09,"CATEACHE CHANNERY SILT LOAM, 15 TO 25 PERCENT SLOPES",456.3482451013652,10553.526351779332
27931,34441.2920529,1734.58618053,WV602,2.0,DaE,513999,1734.58606614,NRand_Tuck,DaE09,"DEKALB CHANNERY LOAM, 25 TO 35 PERCENT SLOPES",1734.5860661375793,34441.290388723835
27936,34391.0460923,1189.44585918,WV602,2.0,CaE,513983,1189.44582605,NRand_Tuck,CaE09,"CALVIN CHANNERY SILT LOAM, 25 TO 35 PERCENT SLOPES",1189.4458260466529,34391.03792554121
27937,314866.083225,7276.01819578,WV602,2.0,CaC,513979,7276.01834928,NRand_Tuck,CaC09,"CALVIN CHANNERY SILT LOAM, 8 TO 15 PERCENT SLOPES",7276.018349283047,314866.1081457783
27938,50139.4536231,1502.37547509,WV602,2.0,DmC,514003,1502.37567616,NRand_Tuck,DmC09,"DEKALB VERY COBBLY LOAM, 3 TO 15 PERCENT SLOPES, RUBBLY",1502.3519153181426,48841.17110827575
27939,15552.5411609,543.521995203,WV602,2.0,CaC,513979,543.521797148,NRand_Tuck,CaC09,"CALVIN CHANNERY SILT LOAM, 8 TO 15 PERCENT SLOPES",543.5217971483432,15552.543310202338
27946,19982.0957543,590.851594053,WV602,2.0,CaB,513978,590.851561526,NRand_Tuck,CaB09,"CALVIN CHANNERY SILT LOAM, 3 TO 8 PERCENT SLOPES",590.8515615260545,19982.100392685817
27952,12871.1186612,836.443929453,WV602,2.0,DaB,513996,836.443979305,NRand_Tuck,DaB09,"DEKALB CHANNERY LOAM, 3 TO 8 PERCENT SLOPES",775.7548226592412,11651.881059240352
27960,24591.5667958,1145.88587853,WV602,2.0,DaF,514000,1145.88592589,NRand_Tuck,DaF09,"DEKALB CHANNERY LOAM, 35 TO 65 PERCENT SLOPES",1145.8859258917678,24591.564118193943
27962,6687.39274251,328.89334831,WV602,2.0,CnC,513991,328.893342019,NRand_Tuck,CnC09,"CATEACHE CHANNERY SILT LOAM, 3 TO 15 PERCENT SLOPES, RUBBLY",328.8933420187356,6687.391476027177
27967,59441.5131407,1934.82971066,WV602,2.0,CxB,513994,1934.82988842,NRand_Tuck,CxB09,"COOKPORT SILT LOAM, 3 TO 8 PERCENT SLOPES",1615.2114997007704,45444.28637561897
27969,191195.785858,5804.60623939,WV602,2.0,DaC,513997,5804.60637598,NRand_Tuck,DaC09,"DEKALB CHANNERY LOAM, 8 TO 15 PERCENT SLOPES",5727.088799247363,175964.82039588696
27972,76579.7525003,1238.34793425,WV602,2.0,BmE,513967,1238.34793989,NRand_Tuck,BmE09,"BELMONT SILT LOAM, 25 TO 35 PERCENT SLOPES",1238.3479398937568,76579.74319653465
27974,72117.0243115,1449.07087782,WV602,2.0,EnC,514007,1449.07080964,NRand_Tuck,EnC09,"ERNEST SILT LOAM, 8 TO 15 PERCENT SLOPES",610.5665048835998,3983.4510372874192
27976,222498.348209,4117.8567947,WV602,2.0,DmE,514004,4117.85677801,NRand_Tuck,DmE09,"DEKALB VERY COBBLY LOAM, 15 TO 35 PERCENT SLOPES, RUBBLY",1558.79138037899,54104.19338699161
27978,21716.7014105,557.229013431,WV602,2.0,DmC,514003,557.229076464,NRand_Tuck,DmC09,"DEKALB VERY COBBLY LOAM, 3 TO 15 PERCENT SLOPES, RUBBLY",555.7948079329905,21545.105488617406
27984,6892.14842695,401.743447149,WV602,2.0,CaE,513983,401.743469538,NRand_Tuck,CaE09,"CALVIN CHANNERY SILT LOAM, 25 TO 35 PERCENT SLOPES",401.7434695382885,6892.151107719993
27986,5587.11053675,329.610878875,WV602,2.0,CaD,513981,329.610774237,NRand_Tuck,CaD09,"CALVIN CHANNERY SILT LOAM, 15 TO 25 PERCENT SLOPES",329.61077423684577,5587.107224761981
27994,201842.762339,3752.68770541,WV602,2.0,CaE,513983,3752.68782788,NRand_Tuck,CaE09,"CALVIN CHANNERY SILT LOAM, 25 TO 35 PERCENT SLOPES",3752.6878278800446,201842.77007901968
27997,166159.223175,5593.85572725,WV602,2.0,CaD,513981,5593.85587557,NRand_Tuck,CaD09,"CALVIN CHANNERY SILT LOAM, 15 TO 25 PERCENT SLOPES",5593.855875568079,166159.21507507013
28026,31686.2693246,1609.65567498,WV602,2.0,DaF,514000,1609.65576918,NRand_Tuck,DaF09,"DEKALB CHANNERY LOAM, 35 TO 65 PERCENT SLOPES",1609.6557691848684,31686.271460128843
28031,80371.7348897,1340.39261253,WV602,2.0,BnF,513971,1340.39266967,NRand_Tuck,BnF09,"BELMONT CHANNERY SILT LOAM, 35 TO 70 PERCENT SLOPES, VERY STONY",1340.3926696745064,80371.7374688501
28037,12019.1775887,514.852034463,WV602,2.0,ChB,1673048,514.852074079,NRand_Tuck,ChB09,"CATEACHE CHANNERY SILT LOAM, 3 TO 8 PERCENT SLOPES",514.8520740788324,12019.175695638762
28040,6459.97250073,320.730217844,WV602,2.0,CaB,513978,320.730262404,NRand_Tuck,CaB09,"CALVIN CHANNERY SILT LOAM, 3 TO 8 PERCENT SLOPES",320.7302624036873,6459.973364068334
28043,33248.8081353,934.490249962,WV602,2.0,DaC,513997,934.490220421,NRand_Tuck,DaC09,"DEKALB CHANNERY LOAM, 8 TO 15 PERCENT SLOPES",934.4902204211793,33248.81297361546
28051,52092.5015656,1183.39981601,WV602,2.0,ErE,514010,1183.39972295,NRand_Tuck,ErE09,"ERNEST COBBLY SILT LOAM, 15 TO 35 PERCENT SLOPES, RUBBLY",1183.3997229507818,52092.50146977632
28060,25204.5637674,657.602260018,WV602,2.0,ChE,513989,657.602329445,NRand_Tuck,ChE09,"CATEACHE CHANNERY SILT LOAM, 25 TO 35 PERCENT SLOPES",657.6023294446112,25204.56061720327
28064,17310.8089212,595.246159524,WV602,2.0,BmB,513964,595.24622455,NRand_Tuck,BmB09,"BELMONT SILT LOAM, 3 TO 8 PERCENT SLOPES",595.2462245501829,17310.8103648873
28067,38135.8293329,1179.73527776,WV602,2.0,CaC,513979,1179.73524983,NRand_Tuck,CaC09,"CALVIN CHANNERY SILT LOAM, 8 TO 15 PERCENT SLOPES",1179.7352498287435,38135.82530819649
28070,79158.3225052,2325.37101584,WV602,2.0,CaE,513983,2325.37104372,NRand_Tuck,CaE09,"CALVIN CHANNERY SILT LOAM, 25 TO 35 PERCENT SLOPES",2325.3710437239356,79158.32483023133
28074,38910.9070336,1227.03617059,WV602,2.0,BmD,513966,1227.03602537,NRand_Tuck,BmD09,"BELMONT SILT LOAM, 15 TO 25 PERCENT SLOPES",1227.0360253677509,38910.903982931086
28084,73329.6263738,1185.26125902,WV602,2.0,BmE,513967,1185.26138635,NRand_Tuck,BmE09,"BELMONT SILT LOAM, 25 TO 35 PERCENT SLOPES",1185.2613863471443,73329.62418344979
28085,31750.8628523,1252.42806091,WV602,2.0,CaD,513981,1252.42795277,NRand_Tuck,CaD09,"CALVIN CHANNERY SILT LOAM, 15 TO 25 PERCENT SLOPES",1252.427952769195,31750.863007614567
28088,18455.3713558,826.48703225,WV602,2.0,CaE,513983,826.486953597,NRand_Tuck,CaE09,"CALVIN CHANNERY SILT LOAM, 25 TO 35 PERCENT SLOPES",826.48695359747,18455.365857967863
28097,12039.6495192,545.043743658,WV602,2.0,CaC,513979,545.043705335,NRand_Tuck,CaC09,"CALVIN CHANNERY SILT LOAM, 8 TO 15 PERCENT SLOPES",545.0437053346207,12039.652030203135
28105,9502.9853242,404.288451215,WV602,2.0,CnC,513991,404.28851376,NRand_Tuck,CnC09,"CATEACHE CHANNERY SILT LOAM, 3 TO 15 PERCENT SLOPES, RUBBLY",404.28851375955134,9502.985530095008
28108,37383.8842239,1037.1889735,WV602,2.0,DrE,514047,1037.18880627,NRand_Tuck,DrE09,"DEKALB VERY COBBLY LOAM, 15 TO 35 PERCENT SLOPES, VERY RUBBLY",889.0504905088696,33031.125595339785
28111,250112.871773,6832.92769049,WV602,2.0,CaC,513979,6832.92755917,NRand_Tuck,CaC09,"CALVIN CHANNERY SILT LOAM, 8 TO 15 PERCENT SLOPES",6832.927559174664,250112.8557481027
28134,58485.9272182,1594.02434196,WV602,2.0,DrF,514048,1594.02438959,NRand_Tuck,DrF09,"DEKALB VERY COBBLY LOAM, 35 TO 80 PERCENT SLOPES, VERY RUBBLY",277.2793388335436,1580.4154792914715
28141,451650.976042,8288.82379801,WV602,2.0,ChF,513990,8288.8236425,NRand_Tuck,ChF09,"CATEACHE CHANNERY SILT LOAM, 35 TO 65 PERCENT SLOPES",4886.700146209623,255591.90096280977
28147,26295.771381,1337.69200406,WV602,2.0,RS,514038,1337.69199172,NRand_Tuck,RS09,"RUBBLE LAND, SANDSTONE",662.1176633324814,12168.899372054948
28162,19701.3809747,595.86907777,WV602,2.0,DaC,513997,595.869186981,NRand_Tuck,DaC09,"DEKALB CHANNERY LOAM, 8 TO 15 PERCENT SLOPES",595.8691869814218,19701.383751675043
28163,14373.6136582,526.073930122,WV602,2.0,DaB,513996,526.073911022,NRand_Tuck,DaB09,"DEKALB CHANNERY LOAM, 3 TO 8 PERCENT SLOPES",365.84266441414366,5978.38162186304
28172,9944.12582958,550.71070153,WV602,2.0,DaC,513997,550.710775012,NRand_Tuck,DaC09,"DEKALB CHANNERY LOAM, 8 TO 15 PERCENT SLOPES",550.7107750117328,9944.129156576862
