AREA,PERIMETER,SURF_GEO_T,A1,A2,A3,A4,A5,SURF_GEO_G,Shape_Length,Shape_Area
696.4840087890625,177.18499755859375,"Apron, cobble-boulder diamict with silty loam matrix",Apron,cobble-boulder diamict,silty loam matrix,Pottsville boulder apron, ,colluvium,177.18542425750172,696.484375
29001.80078125,1241.7099609375,"Veneer: cobble-boulder diamict, silty-loam matrix",Veneer,cobble-boulder diamict,silty-loam matrix, , ,residium,1241.705972191913,29001.78125
570.75,263.86199951171875,"Channel-way, cobbles-boulders, alluvial (may include active narrow floodplain)",Channel-way,cobbles-boulders,alluvial,may include active narrow floodplain, ,streams,263.8621926482659,570.75
114.25,93.44879913330078,"Veneer: cobble-boulder diamict, silty-loam matrix",Veneer,cobble-boulder diamict,silty-loam matrix, , ,residium,93.44880817530358,114.25
453.968994140625,139.7469940185547,"Terrace, 2 to 4m above active channel, alluvial",Terrace,2 to 4m above active channel,alluvial, , ,streams,139.747386994778,453.96875
656.7969970703125,131.07899475097656,"Apron, cobble-boulder diamict with silty loam matrix",Apron,cobble-boulder diamict,silty loam matrix,Pottsville boulder apron, ,colluvium,131.07887481113215,656.796875
448.031005859375,112.4540023803711,"Terrace, 2 to 4m above active channel, alluvial",Terrace,2 to 4m above active channel,alluvial, , ,streams,112.45432585048214,448.03125
2830.889892578125,470.8240051269531,"Floodplain 2 (1 to 2m above channel), cobble-boulder-loam, alluvial",Floodplain 2,1 to 2m above channel,cobble-boulder-loam,alluvial, ,streams,470.8239968226621,2830.890625
6885.91015625,742.5540161132812,"Block field, boulders",Block field,boulders, , , ,colluvium,742.553774579226,6885.90625
1154.969970703125,395.21600341796875,streams and other unclassified areas,streams and other unclassified areas, , , , ,streams,395.21581156722743,1154.96875
65121.5,3120.219970703125,"Veneer: cobble-boulder diamict, silty-loam matrix",Veneer,cobble-boulder diamict,silty-loam matrix, , ,residium,3120.221777396096,65121.5
1383.56005859375,161.0030059814453,"Cove deposit, cobble-boulder diamict with silty loam matrix",Cove deposit,cobble-boulder diamict,silty loam matrix, , ,colluvium,161.0025366158444,1383.5625
586.906005859375,154.625,"Floodplain 2 (1 to 2m above channel), cobble-boulder-loam, alluvial",Floodplain 2,1 to 2m above channel,cobble-boulder-loam,alluvial, ,streams,154.62529595485395,586.90625
110607.0,2555.050048828125,"Veneer: cobble-boulder diamict, silty-loam matrix",Veneer,cobble-boulder diamict,silty-loam matrix, , ,residium,2555.054022845619,110606.546875
14555.7001953125,603.9429931640625,"Veneer: cobble to boulder diamict, silty loam matrix",Veneer,cobble to boulder diamict,silty loam matrix, , ,colluvium,603.9428390574225,14555.6875
5084.93994140625,400.447998046875,"Veneer: cobble to boulder diamict, silty loam matrix",Veneer,cobble to boulder diamict,silty loam matrix, , , ,400.4482664868762,5084.9375
901.31298828125,412.7650146484375,streams and other unclassified areas,streams and other unclassified areas, , , , ,streams,412.76463536190477,901.3125
4118.22021484375,253.34800720214844,"Block field, cobbles-boulders",Block field,cobbles-boulders, , , ,colluvium,253.34774747904595,4118.21875
2922.5,542.0809936523438,"Block field, boulders",Block field,boulders, , , ,colluvium,542.0810918326774,2922.5
283.0469970703125,80.05960083007812,"Terrace, 4 to 6m above active channel, alluvial",Terrace,4 to 6m above active channel,alluvial, , ,streams,80.05961035575254,283.046875
1758.8399658203125,266.82501220703125,"Terrace, 4 to 6m above active channel, alluvial",Terrace,4 to 6m above active channel,alluvial, , ,streams,266.8251983220929,1758.84375
1201.8900146484375,292.6549987792969,"Apron, cobble-boulder diamict with silty loam matrix",Apron,cobble-boulder diamict,silty loam matrix,Pottsville boulder apron, ,colluvium,292.6547225429463,1201.890625
345.2659912109375,90.70490264892578,"High-level fan-terraces, cobble-boulder diamict, silty-loam matrix, alluvial",High-level fan-terraces,cobble-boulder diamict,silty-loam matrix,alluvial, ,fans,90.70485935692412,345.265625
362.7659912109375,94.71499633789062,"High-level fan-terraces, cobble-boulder diamict, silty-loam matrix, alluvial",High-level fan-terraces,cobble-boulder diamict,silty-loam matrix,alluvial, ,fans,94.71495743105908,362.765625
3484.719970703125,420.5899963378906,"Terrace, 4 to 6m above active channel, alluvial",Terrace,4 to 6m above active channel,alluvial, , ,streams,420.59038117127113,3484.71875
1358.97998046875,142.67999267578125,"Cove deposit, cobble-boulder diamict with silty loam matrix",Cove deposit,cobble-boulder diamict,silty loam matrix, , ,colluvium,142.67962726405344,1358.984375
4917.2001953125,611.4500122070312,"Boulder, stream boulders",Boulder,stream boulders, , , ,colluvium,611.4498327369791,4917.203125
3422.530029296875,509.7550048828125,"Apron, cobble-boulder diamict with silty loam matrix",Apron,cobble-boulder diamict,silty loam matrix,Pottsville boulder apron, ,colluvium,509.7554582841411,3422.53125
2894.050048828125,421.79400634765625,"Terrace, 4 to 6m above active channel, alluvial",Terrace,4 to 6m above active channel,alluvial, , ,streams,421.7935717711714,2894.046875
23072.5,904.2030029296875,"Veneer: cobble-boulder diamict, silty-loam matrix",Veneer,cobble-boulder diamict,silty-loam matrix, , ,streams,904.2032524827241,23072.453125
261.2969970703125,71.44779968261719,"Holocene, fans, cobbles-boulders, alluvial",Holocene,fans,cobbles-boulders,alluvial, ,fans,71.44777241778972,261.296875
389.9840087890625,197.33700561523438,streams and other unclassified areas,streams and other unclassified areas, , , , ,streams,197.33685605781463,389.984375
640.9219970703125,236.84300231933594,"Apron, cobble-boulder diamict with silty loam matrix",Apron,cobble-boulder diamict,silty loam matrix,Pottsville boulder apron, ,colluvium,236.84332947058846,640.921875
936.75,260.17498779296875,"Terrace, 2 to 4m above active channel, alluvial",Terrace,2 to 4m above active channel,alluvial, , ,streams,260.1749672164442,936.75
1350.8599853515625,334.3760070800781,"Terrace, 2 to 4m above active channel, alluvial",Terrace,2 to 4m above active channel,alluvial, , ,streams,334.37553470624704,1350.859375
28580.19921875,7312.7900390625,streams and other unclassified areas,streams and other unclassified areas, , , , ,streams,7312.792354997424,28580.21875
123096.0,2652.31005859375,"Veneer: cobble-boulder diamict, loamy matrix (Price bench residium)",Veneer,cobble-boulder diamict,loamy matrix,Price bench residium, ,residium,2652.3139532771324,123096.140625
498.2340087890625,165.77200317382812,"Apron, cobble-boulder diamict with silty loam matrix",Apron,cobble-boulder diamict,silty loam matrix,Pottsville boulder apron, ,colluvium,165.77240084174935,498.234375
2213.68994140625,254.27099609375,"Floodplain 2 (1 to 2m above channel), cobble-boulder-loam, alluvial",Floodplain 2,1 to 2m above channel,cobble-boulder-loam,alluvial, ,streams,254.27070591973646,2213.6875
429.9219970703125,109.19400024414062,"High-level fan-terraces, cobble-boulder diamict, silty-loam matrix, alluvial",High-level fan-terraces,cobble-boulder diamict,silty-loam matrix,alluvial, ,fans,109.19377642484851,429.921875
1698.6300048828125,222.50999450683594,"Apron, cobble-boulder diamict with silty loam matrix",Apron,cobble-boulder diamict,silty loam matrix,Pottsville boulder apron, ,colluvium,222.51022058174811,1698.625
115.53099822998047,46.36410140991211,"Holocene, fans, cobbles-boulders, alluvial",Holocene,fans,cobbles-boulders,alluvial, ,fans,46.364054407786135,115.53125
3733.590087890625,708.22802734375,"Floodplain 2 (1 to 2m above channel), cobble-boulder-loam, alluvial",Floodplain 2,1 to 2m above channel,cobble-boulder-loam,alluvial, ,streams,708.2281292316345,3733.59375
1199.5799560546875,184.21800231933594,"Apron, cobble-boulder diamict with silty loam matrix",Apron,cobble-boulder diamict,silty loam matrix,Pottsville boulder apron, ,colluvium,184.21778715008756,1199.578125
1179.4200439453125,227.80599975585938,"Floodplain 2 (1 to 2m above channel), cobble-boulder-loam, alluvial",Floodplain 2,1 to 2m above channel,cobble-boulder-loam,alluvial, ,streams,227.806315917179,1179.421875
7818.330078125,419.656005859375,"Veneer: cobble-boulder diamict, silty-loam matrix",Veneer,cobble-boulder diamict,silty-loam matrix, , ,streams,419.65631291344596,7818.328125
8716.41015625,440.2850036621094,"Block field, cobbles-boulders",Block field,cobbles-boulders, , , ,colluvium,440.2848792068384,8716.40625
3344.8798828125,328.5889892578125,"Floodplain 2 (1 to 2m above channel), cobble-boulder-loam, alluvial",Floodplain 2,1 to 2m above channel,cobble-boulder-loam,alluvial, ,streams,328.58939794445996,3344.875
1238.1600341796875,353.87701416015625,streams and other unclassified areas,streams and other unclassified areas, , , , ,streams,353.8771812533312,1238.15625
1985.949951171875,364.8389892578125,"Floodplain 2 (1 to 2m above channel), cobble-boulder-loam, alluvial",Floodplain 2,1 to 2m above channel,cobble-boulder-loam,alluvial, ,streams,364.83871532783326,1985.953125
480913.0,4522.7998046875,"Veneer: cobble to boulder diamict, silty loam matrix",Veneer,cobble to boulder diamict,silty loam matrix, , ,colluvium,4522.796790873989,480913.375
1179.68994140625,191.9669952392578,"High-level fan-terraces, cobble-boulder diamict, silty-loam matrix, alluvial",High-level fan-terraces,cobble-boulder diamict,silty-loam matrix,alluvial, ,fans,191.96706938041186,1179.6875
1831.3299560546875,262.3699951171875,"High-level fan-terraces, cobble-boulder diamict, silty-loam matrix, alluvial",High-level fan-terraces,cobble-boulder diamict,silty-loam matrix,alluvial, ,fans,262.3700912526116,1831.328125
1106.0899658203125,348.80999755859375,streams and other unclassified areas,streams and other unclassified areas, , , , ,streams,348.80991378625913,1106.09375
15134.0,590.52001953125,"Veneer: cobble-boulder diamict, silty-loam matrix",Veneer,cobble-boulder diamict,silty-loam matrix, , ,residium,590.5203874998965,15133.984375
2845.530029296875,303.0329895019531,"Floodplain 2 (1 to 2m above channel), cobble-boulder-loam, alluvial",Floodplain 2,1 to 2m above channel,cobble-boulder-loam,alluvial, ,streams,303.03254796250263,2845.53125
3777.6298828125,276.83099365234375,streams and other unclassified areas,streams and other unclassified areas, , , , ,streams,276.83105161333015,3777.625
143.39100646972656,49.570098876953125,"Holocene, fans, cobbles-boulders, alluvial",Holocene,fans,cobbles-boulders,alluvial, ,fans,49.570117216955786,143.390625
10594.5,1054.3900146484375,Excavated /artificial fill,excavated,artificial fill, , , ,disturbed,1054.3869165219312,10594.453125
3305.530029296875,447.37701416015625,"Terrace, 2 to 4m above active channel, alluvial",Terrace,2 to 4m above active channel,alluvial, , ,streams,447.3769401203117,3305.53125
1879.27001953125,182.98500061035156,"Cove deposit, cobble-boulder diamict with silty loam matrix",Cove deposit,cobble-boulder diamict,silty loam matrix, , ,colluvium,182.98526910101248,1879.265625
220.73399353027344,72.8136978149414,"Holocene, fans, cobbles-boulders, alluvial",Holocene,fans,cobbles-boulders,alluvial, ,fans,72.81367178155523,220.734375
7754.83984375,408.3869934082031,"Veneer: cobble-boulder diamict, loamy matrix (Price bench residium)",Veneer,cobble-boulder diamict,loamy matrix,Price bench residium, ,residium,408.3873171589837,7754.84375
12.25,34.235801696777344,"Veneer: cobble to boulder diamict, silty loam matrix",Veneer,cobble to boulder diamict,silty loam matrix, , , ,34.235756992253016,12.25
683.2340087890625,185.4720001220703,"Veneer: very bouldery diamict, silty loam matrix (Pottsville boulder residium)",Veneer,very bouldery diamict,silty loam matrix,Pottsville boulder colluvium, ,residium,185.47211763890235,683.234375
783.1090087890625,226.64500427246094,"Floodplain 2 (1 to 2m above channel), cobble-boulder-loam, alluvial",Floodplain 2,1 to 2m above channel,cobble-boulder-loam,alluvial, ,streams,226.64529627094842,783.109375
1662.77001953125,177.33700561523438,"High-level fan-terraces, cobble-boulder diamict, silty-loam matrix, alluvial",High-level fan-terraces,cobble-boulder diamict,silty-loam matrix,alluvial, ,fans,177.33709288121727,1662.765625
16.5,45.825401306152344,"Veneer: very bouldery diamict, silty loam matrix (Pottsville boulder residium)",Veneer,very bouldery diamict,silty loam matrix,Pottsville boulder colluvium, ,residium,45.82539060299715,16.5
38478.6015625,944.989013671875,"Veneer: very bouldery diamict, silty loam matrix (Pottsville boulder residium)",Veneer,very bouldery diamict,silty loam matrix,Pottsville boulder colluvium, ,residium,944.9891248235948,38478.578125
1812.780029296875,269.406005859375,"Apron, cobble-boulder diamict with silty loam matrix",Apron,cobble-boulder diamict,silty loam matrix,Pottsville boulder apron, ,colluvium,269.4055055728296,1812.78125
357.5,103.0250015258789,"High-level fan-terraces, cobble-boulder diamict, silty-loam matrix, alluvial",High-level fan-terraces,cobble-boulder diamict,silty-loam matrix,alluvial, ,fans,103.02470080772663,357.5
1014.5900268554688,222.11599731445312,"Apron, cobble-boulder diamict with silty loam matrix",Apron,cobble-boulder diamict,silty loam matrix,Pottsville boulder apron, ,colluvium,222.1158185454638,1014.59375
1228.530029296875,342.1080017089844,"Floodplain 2 (1 to 2m above channel), cobble-boulder-loam, alluvial",Floodplain 2,1 to 2m above channel,cobble-boulder-loam,alluvial, ,streams,342.1080938811696,1228.53125
119455.0,1854.8199462890625,"Veneer: cobble-boulder diamict, loamy matrix (Price bench residium)",Veneer,cobble-boulder diamict,loamy matrix,Price bench residium, ,residium,1854.8169648751004,119455.15625
864.2030029296875,177.93600463867188,"Veneer: cobble to boulder diamict, silty loam matrix",Veneer,cobble to boulder diamict,silty loam matrix, , , ,177.93561643084092,864.203125
2049.1298828125,285.8909912109375,"Veneer: cobble to boulder diamict, silty loam matrix",Veneer,cobble to boulder diamict,silty loam matrix, , , ,285.89147646963045,2049.125
8036.9501953125,338.7980041503906,"Block field, boulders",Block field,boulders, , , ,colluvium,338.7979175740383,8036.953125
660.218994140625,158.83599853515625,"Floodplain 2 (1 to 2m above channel), cobble-boulder-loam, alluvial",Floodplain 2,1 to 2m above channel,cobble-boulder-loam,alluvial, ,streams,158.83603423100664,660.21875
11547.0,480.0719909667969,"Veneer: cobble-boulder diamict, silty-loam matrix",Veneer,cobble-boulder diamict,silty-loam matrix, , ,residium,480.0720163760411,11546.984375
2252.3798828125,272.1260070800781,"Floodplain 2 (1 to 2m above channel), cobble-boulder-loam, alluvial",Floodplain 2,1 to 2m above channel,cobble-boulder-loam,alluvial, ,streams,272.12599523094167,2252.375
939.125,205.0030059814453,"Floodplain 2 (1 to 2m above channel), cobble-boulder-loam, alluvial",Floodplain 2,1 to 2m above channel,cobble-boulder-loam,alluvial, ,streams,205.0026441596713,939.125
272.343994140625,153.2259979248047,"Veneer: cobble to boulder diamict, silty loam matrix",Veneer,cobble to boulder diamict,silty loam matrix, , , ,153.2260625619773,272.34375
1322.4200439453125,243.98199462890625,"Floodplain 2 (1 to 2m above channel), cobble-boulder-loam, alluvial",Floodplain 2,1 to 2m above channel,cobble-boulder-loam,alluvial, ,streams,243.9820326137287,1322.421875
1413.75,285.8739929199219,"Veneer: cobble to boulder diamict, silty loam matrix",Veneer,cobble to boulder diamict,silty loam matrix, , , ,285.8735271689218,1413.75
3654.77001953125,749.2949829101562,"Floodplain 2 (1 to 2m above channel), cobble-boulder-loam, alluvial",Floodplain 2,1 to 2m above channel,cobble-boulder-loam,alluvial, ,streams,749.2947254648324,3654.765625
398.5159912109375,100.16699981689453,"High-level fan-terraces, cobble-boulder diamict, silty-loam matrix, alluvial",High-level fan-terraces,cobble-boulder diamict,silty-loam matrix,alluvial, ,fans,100.16688933428146,398.515625
15626.099609375,666.864990234375,"Veneer: cobble-boulder diamict, silty-loam matrix",Veneer,cobble-boulder diamict,silty-loam matrix, , ,residium,666.8653455957776,15626.0625
18204.69921875,570.6380004882812,"Block field, very bouldery (Pottsville block field)",Block field,very bouldery,Pottsville block field, , ,colluvium,570.6377088545407,18204.734375
6295.33984375,609.7310180664062,"Veneer: cobble to boulder diamict, silty loam matrix",Veneer,cobble to boulder diamict,silty loam matrix, , , ,609.7305323868337,6295.34375
77608.5,2641.340087890625,"Veneer: cobble-boulder diamict, loamy matrix (Price bench residium)",Veneer,cobble-boulder diamict,loamy matrix,Price bench residium, ,residium,2641.33740140137,77608.484375
298.81298828125,134.17799377441406,"Floodplain 1 (0.5 to 1m above channel), cobble-boulder-loam, alluvial",Floodplain 1,0.5 to 1m above channel,cobble-boulder-loam,alluvial, ,streams,134.1776686385206,298.8125
716.906005859375,128.73899841308594,"Floodplain 2 (1 to 2m above channel), cobble-boulder-loam, alluvial",Floodplain 2,1 to 2m above channel,cobble-boulder-loam,alluvial, ,streams,128.73860257361954,716.90625
786.1409912109375,168.5570068359375,"Floodplain 1 (0.5 to 1m above channel), cobble-boulder-loam, alluvial",Floodplain 1,0.5 to 1m above channel,cobble-boulder-loam,alluvial, ,streams,168.55707980308424,786.140625
1154.4200439453125,408.2900085449219,streams and other unclassified areas,streams and other unclassified areas, , , , ,streams,408.2895436354358,1154.421875
1315.6300048828125,252.12899780273438,"Floodplain 2 (1 to 2m above channel), cobble-boulder-loam, alluvial",Floodplain 2,1 to 2m above channel,cobble-boulder-loam,alluvial, ,streams,252.1293968839468,1315.625
26.734399795532227,24.931900024414062,"Veneer: cobble to boulder diamict, silty loam matrix",Veneer,cobble to boulder diamict,silty loam matrix, , , ,24.931917991775844,26.734375
1930.969970703125,172.53799438476562,"Cove deposit, cobble-boulder diamict with silty loam matrix",Cove deposit,cobble-boulder diamict,silty loam matrix, , ,colluvium,172.53770615731165,1930.96875
1007.0599975585938,195.92799377441406,"Floodplain 2 (1 to 2m above channel), cobble-boulder-loam, alluvial",Floodplain 2,1 to 2m above channel,cobble-boulder-loam,alluvial, ,streams,195.92801397075672,1007.0625
