AREA,PERIMETER,SURF_GEO_T,A1,A2,A3,A4,A5,SURF_GEO_G,Shape_Length,Shape_Area
1091570.0,5433.22998046875,"Veneer: very bouldery diamict, silty loam matrix, (Pottsville boulder colluvium)",Veneer,very bouldery diamict,silty loam matrix,Pottsville boulder colluvium, ,colluvium,5433.233152409441,1091565.1875
1624.02001953125,179.91600036621094,"Cove deposit, cobble-boulder diamict with silty loam matrix",Cove deposit,cobble-boulder diamict,silty loam matrix, , ,colluvium,179.91604338819118,1624.015625
257570.0,4959.08984375,"Veneer: cobble-boulder diamict, silty-loam matrix",Veneer,cobble-boulder diamict,silty-loam matrix, , ,residium,4959.085769664355,257569.5625
9352.1298828125,1083.6500244140625,"Apron, cobble-boulder diamict with silty loam matrix",Apron,cobble-boulder diamict,silty loam matrix,Pottsville boulder apron, ,colluvium,1083.6510273508798,9352.125
13922.2998046875,480.31201171875,"Veneer: cobble-boulder diamict, silty-loam matrix",Veneer,cobble-boulder diamict,silty-loam matrix, , ,residium,480.3122584914619,13922.328125
884.625,170.36900329589844,no data collected,no data collected, , , , ,streams,170.36933509335327,884.625
1178.31005859375,179.6739959716797,no data collected,no data collected, , , , ,streams,179.6744782694571,1178.3125
1223.0799560546875,181.08799743652344,"Veneer: cobble to boulder diamict, silty loam matrix",Veneer,cobble to boulder diamict,silty loam matrix, , ,colluvium,181.08802670954742,1223.078125
1239.8800048828125,234.5970001220703,"Floodplain 1 (0.5 to 1m above channel), cobble-boulder-loam, alluvial",Floodplain 1,0.5 to 1m above channel,cobble-boulder-loam,alluvial, ,streams,234.59678660334941,1239.875
46183.5,1446.6700439453125,"Veneer: cobble to boulder diamict, silty loam matrix",Veneer,cobble to boulder diamict,silty loam matrix, , ,colluvium,1446.6651237571882,46183.484375
614.781005859375,100.20700073242188,"Floodplain 2 (1 to 2m above channel), cobble-boulder-loam, alluvial",Floodplain 2,1 to 2m above channel,cobble-boulder-loam,alluvial, ,streams,100.20704705231121,614.78125
2738.030029296875,562.5770263671875,"Floodplain 1 (0.5 to 1m above channel), cobble-boulder-loam, alluvial",Floodplain 1,0.5 to 1m above channel,cobble-boulder-loam,alluvial, ,streams,562.5774551683418,2738.03125
380.1719970703125,95.26080322265625,"Floodplain 2 (1 to 2m above channel), cobble-boulder-loam, alluvial",Floodplain 2,1 to 2m above channel,cobble-boulder-loam,alluvial, ,streams,95.2607686649465,380.171875
1090.97998046875,154.6269989013672,"Floodplain 2 (1 to 2m above channel), cobble-boulder-loam, alluvial",Floodplain 2,1 to 2m above channel,cobble-boulder-loam,alluvial, ,streams,154.62728254658154,1090.984375
295031.0,5609.47021484375,"Veneer: cobble-boulder diamict, loamy matrix (Price bench residium)",Veneer,cobble-boulder diamict,loamy matrix,Price bench residium, ,residium,5609.474569384659,295030.75
11209.900390625,446.9909973144531,"Veneer: cobble-boulder diamict, silty-loam matrix",Veneer,cobble-boulder diamict,silty-loam matrix, , ,residium,446.9912237879236,11209.875
20537.099609375,745.9940185546875,"Veneer: cobble-boulder diamict, silty-loam matrix",Veneer,cobble-boulder diamict,silty-loam matrix, , ,residium,745.9941476939898,20537.109375
991.18798828125,213.9499969482422,"Apron, cobble-boulder diamict with silty loam matrix",Apron,cobble-boulder diamict,silty loam matrix,Pottsville boulder apron, ,colluvium,213.9503620113247,991.1875
55.29690170288086,31.440200805664062,no data collected,no data collected, , , , ,streams,31.440186420379572,55.296875
139.48399353027344,56.18259811401367,no data collected,no data collected, , , , ,streams,56.18257381654968,139.484375
4786.0,1785.1500244140625,"Channel-way, cobbles-boulders, alluvial (may include active narrow floodplain)",Channel-way,cobbles-boulders,alluvial,may include active narrow floodplain, ,streams,1785.153659659376,4786.0
18598.0,662.77001953125,"Veneer: cobble-boulder diamict, silty-loam matrix",Veneer,cobble-boulder diamict,silty-loam matrix, , ,residium,662.7696653635377,18597.984375
1385.780029296875,335.739990234375,"Floodplain 1 (0.5 to 1m above channel), cobble-boulder-loam, alluvial",Floodplain 1,0.5 to 1m above channel,cobble-boulder-loam,alluvial, ,streams,335.7403345095204,1385.78125
388.0469970703125,208.15899658203125, , , , , , , ,208.15940699732033,388.046875
2192.8798828125,197.10299682617188,"Veneer: cobble to boulder diamict, silty loam matrix",Veneer,cobble to boulder diamict,silty loam matrix, , ,colluvium,197.10282071852714,2192.875
682758.0,11413.599609375,"Veneer: cobble to boulder diamict, silty loam matrix",Veneer,cobble to boulder diamict,silty loam matrix, , ,colluvium,11413.570568347886,682757.96875
334.4219970703125,121.68099975585938,"Floodplain 1 (0.5 to 1m above channel), cobble-boulder-loam, alluvial",Floodplain 1,0.5 to 1m above channel,cobble-boulder-loam,alluvial, ,streams,121.68095970142089,334.421875
1691.3800048828125,167.70599365234375,"Block field, very bouldery (Pottsville block field)",Block field,very bouldery,Pottsville block field, , ,colluvium,167.70646231028005,1691.375
13691.599609375,3942.27001953125,"Channel-way, cobbles-boulders, alluvial (may include active narrow floodplain)",Channel-way,cobbles-boulders,alluvial,may include active narrow floodplain, ,streams,3942.266855572845,13691.609375
729.125,121.98500061035156,no data collected,no data collected, , , , ,streams,121.98474191391458,729.125
1198.6099853515625,275.3080139160156,"Apron, cobble-boulder diamict with silty loam matrix",Apron,cobble-boulder diamict,silty loam matrix,Pottsville boulder apron, ,colluvium,275.3083365272449,1198.609375
2106.81005859375,249.74400329589844,"Veneer: cobble to boulder diamict, silty loam matrix",Veneer,cobble to boulder diamict,silty loam matrix, , ,colluvium,249.74357597038866,2106.8125
34247.80078125,904.6179809570312,"Veneer: cobble to boulder diamict, loam matrix",Veneer,cobble to boulder diamict,loam matrix, , ,colluvium,904.6178706201382,34247.78125
1852.9100341796875,192.35800170898438,no data collected,no data collected, , , , ,streams,192.3576280818542,1852.90625
37444.3984375,1656.0899658203125,"Veneer: very bouldery diamict, silty loam matrix (Pottsville boulder residium)",Veneer,very bouldery diamict,silty loam matrix,Pottsville boulder colluvium, ,residium,1656.0883062455039,37444.390625
