source_sample_id,watershed,soil_subcomp,soil_plot,depth,depth_code,frac_soil_wt_g,LF_g,POM_g,MAOM_g,total_frac_g,LF_C_perc,LF_N_perc,POM_C_perc,POM_N_perc,MAOM_C_perc,MAOM_N_perc,LF_C_gcm3,LF_N_gcm3,hPOM_C_gcm3,hPOM_N_gcm3,MAOM_C_gcm3,MAOM_N_gcm3,LF_C_gm2,LF_N_gm2,hPOM_C_gm2,hPOM_N_gm2,MAOM_C_gm2,MAOM_N_gm2,total_POC_gm2,MAOC_hPOC,MAOC_tot_POC,treatment,composite_note
97,WS4,WS4a,17,0 to 20,0-20,5.7399,0.1226,2.9539,2.6714,5.7479,38.28,0.9,0.11,0.02,3.89,0.26,0.005341649698421075,0.00012558737535472747,0.00036982943888559216,6.724171616101675e-05,0.0118277334193673,0.00079054259358239,1068.3299396842149,25.117475070945492,73.96588777711843,13.44834323220335,2365.5466838734596,158.10851871647802,1142.2958274613334,31.98158982423853,2.070870458426439,Reference,5 g from each subplot (A-C) pooled and density-fractionated; stored on subplot A row in source
98,WS4,WS4a,17,20 to 40,20-40,5.7442,0.0422,2.7539,2.9617,5.7578,36.91,0.66,0.66,0.04,1.03,0.1,0.002047099250939605,3.660486333297587e-05,0.002388770927314745,0.00014477399559483303,0.004009227432330636,0.0003892453817796734,409.41985018792104,7.320972666595175,477.754185462949,28.95479911896661,801.8454864661272,77.84907635593467,887.1740356508701,1.678364127127699,0.9038198304325463,Reference,5 g from each subplot (A-C) pooled and density-fractionated; stored on subplot A row in source
103,WS4,WS4a,18,0 to 20,0-20,5.8611,0.1092,2.7742,2.9935,5.8769,38.5,1.07,0.63,0.04,2.82,0.23,0.005448355840193479,0.00015142183763654606,0.0022649593564232893,0.00014380694326497076,0.010939827326360802,0.0008922554202351008,1089.671168038696,30.284367527309215,452.9918712846578,28.76138865299415,2187.96546527216,178.45108404702017,1542.6630393233536,4.830032510444881,1.4183041983243798,Reference,5 g from each subplot (A-C) pooled and density-fractionated; stored on subplot A row in source
104,WS4,WS4a,18,20 to 40,20-40,5.7072,0.0241,2.3155,3.873,6.2126,40.98,0.91,0.12,0.02,0.47,0.06,0.002123906033536574,4.7163359944321204e-05,0.0005975473619136879,9.959122698561466e-05,0.003914638445134619,0.0004997410781022918,424.7812067073148,9.432671988864241,119.50947238273757,19.918245397122934,782.9276890269238,99.94821562045837,544.2906790900524,6.5511768516519115,1.4384367013887243,Reference,5 g from each subplot (A-C) pooled and density-fractionated; stored on subplot A row in source
109,WS5,WS5b,19,0 to 20,0-20,5.683,0.0694,3.4385,2.2026,5.7105,37.75,1.09,1.3,0.09,2.95,0.24,0.0033778267353513996,9.753195076908676e-05,0.005763327823485131,0.0003989996185489706,0.008377580183403907,0.0006815658454294703,675.5653470702799,19.506390153817353,1152.6655646970264,79.79992370979411,1675.5160366807813,136.31316908589406,1828.2309117673062,1.4536011901432868,0.9164684974400202,Single-tree selection,5 g from each subplot (A-C) pooled and density-fractionated; stored on subplot A row in source
110,WS5,WS5b,19,20 to 40,20-40,5.7778,0.019,2.8172,2.8827,5.7189,,,0.17,0.03,0.73,0.08,,,0.0010725497567258611,0.0001892734864810343,0.004712736476165231,0.0005164642713605732,,,214.50995134517223,37.854697296206865,942.5472952330462,103.29285427211465,214.50995134517223,4.39395603477796,4.39395603477796,Single-tree selection,5 g from each subplot (A-C) pooled and density-fractionated; stored on subplot A row in source
115,WS5,WS5b,20,0 to 20,0-20,5.2074,0.0705,2.0131,3.1592,5.2428,35.96,0.85,0.99,0.06,2.06,0.19,0.0030644749037684067,7.243614205236778e-05,0.0024090610861904945,0.00014600370219336332,0.007866682278548035,0.0007255677829728771,612.8949807536812,14.487228410473556,481.8122172380989,29.200740438672664,1573.336455709607,145.1135565945754,1094.70719799178,3.2654557095469117,1.4372212575160404,Single-tree selection,5 g from each subplot (A-C) pooled and density-fractionated; stored on subplot A row in source
116,WS5,WS5b,20,20 to 40,20-40,5.1771,0.0236,1.7874,3.3537,5.1647,,,0.15,0.03,0.75,0.08,,,0.0005566087284517008,0.00011132174569034014,0.005221826934677377,0.0005569948730322536,,,111.32174569034014,22.264349138068027,1044.3653869354755,111.39897460645072,111.32174569034014,9.381503860355826,9.381503860355826,Single-tree selection,5 g from each subplot (A-C) pooled and density-fractionated; stored on subplot A row in source
121,WS5,WS5b,21,0 to 20,0-20,5.3886,0.0601,1.8652,3.4143,5.3396,40.45,1.15,1.63,0.08,3.63,0.25,0.004211633832350333,0.00011973742663047916,0.005267088540641057,0.00025850741303759794,0.021471674304453955,0.0014787654479651486,842.3267664700666,23.94748532609583,1053.4177081282114,51.70148260751959,4294.334860890791,295.7530895930297,1895.744474598278,4.076573640024787,2.265249836374067,Single-tree selection,5 g from each subplot (A-C) pooled and density-fractionated; stored on subplot A row in source
122,WS5,WS5b,21,20 to 40,20-40,5.6475,0.0335,1.9335,3.6381,5.6051,39.62,0.96,0.27,0.02,1.07,0.08,0.0025332167205251526,6.138031427824701e-05,0.0009963708385381674,7.380524729912351e-05,0.007429703416417562,0.0005554918442181355,506.6433441050305,12.276062855649402,199.27416770763347,14.761049459824703,1485.9406832835125,111.09836884362709,705.917511812664,7.456765221388961,2.104977789073252,Single-tree selection,5 g from each subplot (A-C) pooled and density-fractionated; stored on subplot A row in source
127,WS5,WS5b,22,0 to 20,0-20,5.2961,0.1253,2.4798,2.7162,5.321300000000001,39.2,0.98,1.53,0.09,2.11,0.19,0.007073674256977776,0.0001768418564244444,0.005464066863273825,0.0003214156978396367,0.0082537653662749,0.0007432300566787826,1414.7348513955553,35.36837128488888,1092.813372654765,64.28313956792734,1650.75307325498,148.64601133575653,2507.5482240503206,1.5105535076358148,0.6583135899131778,Single-tree selection,5 g from each subplot (A-C) pooled and density-fractionated; stored on subplot A row in source
128,WS5,WS5b,22,20 to 40,20-40,5.8435,0.0682,2.7867,2.9771,5.832000000000001,39.03,0.76,0.29,0.02,0.82,0.09,0.004057444701540796,7.900737825188329e-05,0.0012318502022420845,8.495518636152307e-05,0.00372114813147899,0.0004084186973574502,811.4889403081593,15.801475650376657,246.3700404484169,16.991037272304613,744.229626295798,81.68373947149004,1057.858980756576,3.020779738239395,0.7035244203944161,Single-tree selection,5 g from each subplot (A-C) pooled and density-fractionated; stored on subplot A row in source
133,WS5,WS5b,23,0 to 20,0-20,5.6813,0.0986,1.8883,3.7112,5.6981,39.39,1.05,4.18,0.19,2.07,0.13,0.006675589980664263,0.00017794794312509462,0.0135666941195115,0.00061666791452325,0.013204180831725216,0.0008292480715576222,1335.1179961328526,35.58958862501892,2713.3388239022997,123.33358290464999,2640.8361663450432,165.84961431152442,4048.4568200351523,0.9732791729073541,0.6523068625249937,Single-tree selection,5 g from each subplot (A-C) pooled and density-fractionated; stored on subplot A row in source
134,WS5,WS5b,23,20 to 40,20-40,5.1373,0.0253,1.4942,3.5539,5.0734,,,0.14,0.02,0.57,0.06,,,0.000470146273631285,6.716375337589785e-05,0.00455277606678771,0.00047923958597765367,,,94.029254726257,13.432750675179568,910.5552133575419,95.84791719553074,94.029254726257,9.683743809396331,9.683743809396331,Single-tree selection,5 g from each subplot (A-C) pooled and density-fractionated; stored on subplot A row in source
139,WS5,WS5a,24,0 to 20,0-20,5.8587,0.4638,1.4587,4.0201,5.9426000000000005,35.34,1.07,1.64,0.1,3.14,0.27,0.01565293670522556,0.0004739287570625736,0.00228459052161657,0.00013930430009857135,0.012054939746585848,0.0010365712520949612,3130.587341045112,94.78575141251471,456.918104323314,27.86086001971427,2410.9879493171693,207.31425041899226,3587.505445368426,5.276630377532952,0.6720513699651174,Single-tree selection,5 g from each subplot (A-C) pooled and density-fractionated; stored on subplot A row in source
140,WS5,WS5a,24,20 to 40,20-40,5.3655,0.0388,0.3509,4.895,5.2847,44.8,0.71,0.47,0.03,0.86,0.09,0.0035337838004853225,5.600416290947721e-05,0.0003352829446609449,2.1401039020911377e-05,0.008558179345143973,0.0008956234198406484,706.7567600970644,11.20083258189544,67.05658893218897,4.280207804182275,1711.6358690287948,179.12468396812966,773.8133490292535,25.525245114386713,2.2119492655122026,Single-tree selection,5 g from each subplot (A-C) pooled and density-fractionated; stored on subplot A row in source
