AREA,PERIMETER,PLASS1,CLASS_LEVE,CLASS_CODE,CLASS_REFE,CLASS_SHOR,CLASS_LONG,CLASS_LO_1,CLASS_SET_,CLASS_STAT,CLASS_GEOG,PARENT_CLA,Shape_Length,Shape_Area
70166.0,1252.90698,240.0,PVPA,240.0,DeMeo et al 093002,ACSA-FAGR,Sugar maple-American beech plant association,Acer saccharum-Fagus grandifolia,Mon ECS,Draft,Monongahela NF,24.0,1252.9459983164008,70169.6695823925
117410.10938,2444.96714,220.0,PVPA,220.0,DeMeo et al 093002,ACSA-TIAM,Sugar maple-basswood plant association,Acer saccharum-Tilia americana,Mon ECS,Draft,Monongahela NF,22.0,2445.0362479733744,117416.18357205027
37698.10938,789.52342,220.0,PVPA,220.0,DeMeo et al 093002,ACSA-TIAM,Sugar maple-basswood plant association,Acer saccharum-Tilia americana,Mon ECS,Draft,Monongahela NF,22.0,789.5478818031631,37700.07342601832
186410.04688,5897.9183,210.0,PVPA,210.0,DeMeo et al 093002,TSCA,Eastern hemlock plant association,Tsuga canadensis,Mon ECS,Draft,Monongahela NF,21.0,3542.9080253765683,110555.2107591711
754385.39063,7822.35162,220.0,PVPA,220.0,DeMeo et al 093002,ACSA-TIAM,Sugar maple-basswood plant association,Acer saccharum-Tilia americana,Mon ECS,Draft,Monongahela NF,22.0,7490.569913157108,675392.144074289
43509.04688,890.16488,230.0,PVPA,230.0,DeMeo et al 093002,ACSA-QURU,Sugar maple-northern red oak plant association,Acer saccharum-Quercus rubra,Mon ECS,Draft,Monongahela NF,23.0,890.190252308268,43511.3193979363
21808.85938,758.9012,220.0,PVPA,220.0,DeMeo et al 093002,ACSA-TIAM,Sugar maple-basswood plant association,Acer saccharum-Tilia americana,Mon ECS,Draft,Monongahela NF,22.0,758.917602653131,21810.000894415993
61694.76563,1440.86215,220.0,PVPA,220.0,DeMeo et al 093002,ACSA-TIAM,Sugar maple-basswood plant association,Acer saccharum-Tilia americana,Mon ECS,Draft,Monongahela NF,22.0,1440.9061799388764,61697.96701989074
23996.90625,731.70487,220.0,PVPA,220.0,DeMeo et al 093002,ACSA-TIAM,Sugar maple-basswood plant association,Acer saccharum-Tilia americana,Mon ECS,Draft,Monongahela NF,22.0,731.7210245621346,23998.153652969442
106096.5,1403.75506,470.0,PVPA,470.0,DeMeo et al 093002,QUPR-QURU,Chestnut oak-northern red oak plant association,Quercus prinus-Quercus rubra,Mon ECS,Draft,Monongahela NF,47.0,1403.8037936629541,106102.06776147941
158371.75,3203.54073,470.0,PVPA,470.0,DeMeo et al 093002,QUPR-QURU,Chestnut oak-northern red oak plant association,Quercus prinus-Quercus rubra,Mon ECS,Draft,Monongahela NF,47.0,2095.436781620353,69834.87464481925
38647965.02896,159706.91251,300.0,PVPA,300.0,DeMeo et al 093002,FAGR,American beech plant association,Fagus grandifolia,Mon ECS,Draft,Monongahela NF,30.0,2903.2731968635244,398302.28082167316
239358.125,4042.6741,220.0,PVPA,220.0,DeMeo et al 093002,ACSA-TIAM,Sugar maple-basswood plant association,Acer saccharum-Tilia americana,Mon ECS,Draft,Monongahela NF,22.0,2710.8230451948098,193517.0134702233
36870.23438,849.32724,240.0,PVPA,240.0,DeMeo et al 093002,ACSA-FAGR,Sugar maple-American beech plant association,Acer saccharum-Fagus grandifolia,Mon ECS,Draft,Monongahela NF,24.0,849.3615315064374,36872.14283767137
