mukey,cokey,compname,comppct_r,majcompflag,taxclname,drainagecl,chkey,hzname,hzdept_r,hzdepb_r,sandtotal_r,silttotal_r,claytotal_r,om_r,dbthirdbar_r,awc_r,ph1to1h2o_r,cec7_r,ksat_r,fragvol_r
513997,27401132,Dekalb,85,Yes,"Loamy-skeletal, siliceous, active, mesic Typic Dystrudepts",Well drained,81839932,H3,36,86,46.0,44.0,10.0,0.6,1.35,0.08,4.6,4.9,92.0,49.0
513997,27401132,Dekalb,85,Yes,"Loamy-skeletal, siliceous, active, mesic Typic Dystrudepts",Well drained,81839933,R,86,96,,,,,,,,,50.0,
514003,27401137,Dekalb,85,Yes,"Loamy-skeletal, siliceous, active, mesic Typic Dystrudepts",Well drained,81839950,H3,36,86,46.0,44.0,10.0,0.6,1.35,0.08,4.6,4.9,92.0,49.0
514003,27401137,Dekalb,85,Yes,"Loamy-skeletal, siliceous, active, mesic Typic Dystrudepts",Well drained,81839951,R,86,96,,,,,,,,,50.0,
514003,27401137,Dekalb,85,Yes,"Loamy-skeletal, siliceous, active, mesic Typic Dystrudepts",Well drained,81839952,H1,0,20,44.3,40.7,15.0,3.0,1.35,0.1,5.1,10.2,92.0,41.0
514003,27401137,Dekalb,85,Yes,"Loamy-skeletal, siliceous, active, mesic Typic Dystrudepts",Well drained,81839953,H2,20,36,45.7,41.8,12.5,1.68,1.35,0.09,4.6,8.0,92.0,35.0
514008,27401090,Brinkerton,2,No ,"Fine-silty, mixed, superactive, mesic Typic Fragiaqualfs",Poorly drained,81839730,Oi,0,3,,,,69.0,0.1,0.01,4.5,,92.0,
514008,27401090,Brinkerton,2,No ,"Fine-silty, mixed, superactive, mesic Typic Fragiaqualfs",Poorly drained,81839731,Btg,20,53,10.6,59.4,30.0,0.7,1.42,0.16,5.3,,2.82,0.0
514008,27401090,Brinkerton,2,No ,"Fine-silty, mixed, superactive, mesic Typic Fragiaqualfs",Poorly drained,81839732,A,3,8,12.0,65.0,23.0,13.5,1.1,0.14,4.8,,9.17,0.0
514008,27401090,Brinkerton,2,No ,"Fine-silty, mixed, superactive, mesic Typic Fragiaqualfs",Poorly drained,81839733,Eg,8,20,12.0,65.0,23.0,3.4,1.36,0.21,4.8,,9.17,0.0
514008,27401090,Brinkerton,2,No ,"Fine-silty, mixed, superactive, mesic Typic Fragiaqualfs",Poorly drained,81839734,Btgx,53,107,13.8,61.2,25.0,0.4,1.6,0.1,5.3,,0.915,5.0
514008,27401090,Brinkerton,2,No ,"Fine-silty, mixed, superactive, mesic Typic Fragiaqualfs",Poorly drained,81839735,BC,107,165,14.0,61.0,25.0,0.4,1.45,0.16,5.7,19.6,1.41,15.0
514008,27401091,Ernest,80,Yes,"Fine-loamy, mixed, superactive, mesic Aquic Fragiudults",Moderately well drained,81839741,Oe,0,3,,,,60.0,0.15,0.05,4.5,,92.0,
514008,27401091,Ernest,80,Yes,"Fine-loamy, mixed, superactive, mesic Aquic Fragiudults",Moderately well drained,81839742,C,142,203,21.0,55.0,24.0,0.17,1.45,0.1,5.0,,1.41,25.0
514008,27401091,Ernest,80,Yes,"Fine-loamy, mixed, superactive, mesic Aquic Fragiudults",Moderately well drained,81839736,A,3,10,14.0,67.0,19.0,7.0,1.15,0.17,4.5,,9.17,5.0
514008,27401091,Ernest,80,Yes,"Fine-loamy, mixed, superactive, mesic Aquic Fragiudults",Moderately well drained,81839737,Bt,28,58,18.0,54.0,28.0,0.5,1.48,0.14,4.8,,7.76,10.0
514008,27401091,Ernest,80,Yes,"Fine-loamy, mixed, superactive, mesic Aquic Fragiudults",Moderately well drained,81839738,Btx,58,142,28.0,48.0,24.0,0.25,1.69,0.1,5.0,,0.915,15.0
514008,27401091,Ernest,80,Yes,"Fine-loamy, mixed, superactive, mesic Aquic Fragiudults",Moderately well drained,81839739,E,10,18,13.0,69.0,18.0,3.5,1.25,0.17,4.5,,9.17,5.0
514008,27401091,Ernest,80,Yes,"Fine-loamy, mixed, superactive, mesic Aquic Fragiudults",Moderately well drained,81839740,BE,18,28,16.0,63.0,21.0,1.8,1.3,0.17,4.8,,9.17,5.0
