Length_m,Comp_name,Shape_Length
56.3116768531,20,56.31162164638664
84.2148211612,20,84.2148489104856
144.97668908,43,144.97678235435725
73.1529606292,43,73.15293794639265
54.4891396663,20,53.31382798499663
6.35998413467,43,6.359954667058677
356.889048343,20,258.34465268024195
174.961593743,20,174.9616003016947
49.5851297388,20,49.58520426711623
272.672793475,49-2,249.14469202059246
118.782695954,20,118.78277195718572
163.026191242,20,161.66549299691545
35.1886169424,20,35.188595467620395
170.722849015,18,166.58568926184526
170.722849015,20,4.137283250978899
227.569565589,20,227.56947664600466
61.7897554099,20,61.78975634873409
17.1403467155,20,17.140312739969602
101.503372871,20,101.50339852971726
93.8789075861,18,3.6222384484538797
93.8789075861,20,90.25670443948401
212.054665696,18,212.05472704371005
2.87154136886,18,2.871525631780529
86.6673759162,18,15.001313824616176
86.6673759162,20,71.6660364366862
290.228926551,20,290.2289231495682
32.9891658026,18,4.000896101530563
32.9891658026,20,28.988243463660872
724.757744915,18,166.52172661890606
50.4781740923,18,39.45283176820247
50.4781740923,20,11.025374528338606
342.271028597,20,342.27109244235254
210.166363162,18,210.16642419815963
12.0989226212,18,10.713523119625822
12.0989226212,20,1.3853974819394983
34.6682753053,18,14.877139652745331
34.6682753053,20,19.791073827971722
104.956122849,18,104.95615361684713
102.45646985,18,102.4565180921401
20.375424539,18,20.375406510317553
240.047545459,18,240.04758550700177
435.870769773,20,435.87075669850606
180.587709166,20,180.5877717418103
132.87489883,18,132.8748900037747
397.595768454,18,397.5957075754999
93.8163366167,18,93.81638154279676
291.000227935,18,291.00026941233335
57.1391998339,18,57.13917173082561
396.015824122,20,396.01587911554816
60.685469106,18,60.68545743049483
123.575807044,18,123.57579175824338
18.2301454589,20,18.230116211465976
160.04546992,20,160.0454699099668
15.3482720343,20,15.348303839687567
178.664293137,20,178.66432687685267
293.397838899,18,293.39777037357317
36.8558325831,20,36.85581255362468
118.811057286,16,118.81103552727124
153.147293194,16,153.1472520922104
15.0707927435,16,15.07070392713451
237.40742185,16,217.01965499724446
63.4325867819,34,63.43272889138326
9.35934208743,34,9.35949185049838
302.973891464,34,220.6214136605299
26.7606638736,18,26.760704578724443
50.2950320491,18,50.294975793420235
63.4839791626,18,63.48395049361484
261.887434495,18,261.88743314601834
24.5970770122,18,24.59713923229687
25.4519367862,18,25.451821155865343
21.2501413475,18,21.250098330995826
1.28032520164,18,1.2803379591171045
85.2897505929,34,85.28967819718382
88.4393235191,18,88.43933131864688
0.062499247957,18,0.0625
35.3689700961,18,35.36896314379831
100.010800291,18,100.01082422601782
18.5972221093,18,18.597246813245143
69.7081524934,49-1,69.70808547904664
272.684014646,49-1,272.683966820768
4.83636380009,49-1,4.836401215369065
138.422537127,18,138.42253206496812
131.958151394,18,131.95820607865528
4.27256818373,18,4.272526332075522
122.613290632,49-1,122.61334846779963
185.923089605,16,172.49387415319822
185.923089605,18,13.429084828237203
784.638556775,16,768.8697303585835
784.638556775,18,15.768849332395694
275.283613018,35,238.1326916564707
82.4836659874,18,82.48368813191195
41.0378998432,19,41.03785309015586
5.10051259443,19,3.953673220788195
1.30489155577,19,1.3048848302407123
25.0960505316,19,25.09600979064244
144.099440857,21,129.10455028794465
4.05388301356,19,4.05392604053742
41.4758060535,19,36.57087989559196
18.0319719721,19,18.03197841383054
2.85972849874,19,2.8597780379655453
148.283546972,49-1,144.6907906293972
337.15746802,16,337.1573655611056
205.631006018,49-1,205.63112236723657
44.6060397197,17,43.393001968440345
25.3196865225,16,25.31973262542164
206.500011029,16,206.50010856303882
156.840339225,25,156.84033892906297
149.133341309,19,149.13353205278761
112.538452011,19,112.53862810808218
258.079668055,21,258.079647868724
273.114551155,16,273.11460038686533
14.8703325564,17,14.301461958121997
14.8703325564,19,0.5688627956594995
17.0832698231,17,8.744836309023162
17.0832698231,19,8.338417385590162
135.980175133,21,135.98012197893678
17.5193871882,19,17.51940446925706
82.9449534415,14,82.94500019311347
140.328341412,14,140.32837195334596
70.6484064897,19,70.648476233222
45.1217715573,17,40.71147883998961
45.1217715573,19,4.410235849767038
87.688712664,16,87.6887477877662
99.4143348778,16,99.41434227341088
16.2691704663,16,16.26908008777667
167.289561547,16,167.28956144419092
221.337474199,17,221.3374599360128
43.4875935015,32,43.48745807975653
19.9129212432,32,19.912818022539447
24.1436020363,32,24.143613782104275
3.37598224758,32,3.375904905900881
60.9714864951,19,60.97142945363016
112.596814967,32,112.59694510406392
34.1919584026,32,34.19200473902499
5.35596794751,32,5.356096610412218
156.726757987,16,156.72682267667494
6.26364035173,14,6.26368436244963
159.682624909,14,159.6826174296735
3.93798188272,14,3.937906953068832
4.59294864772,14,4.5928451539584305
241.858622455,25,237.9379009784147
55.8229378765,33,46.18837840714324
55.8229378765,32,9.634577130809932
416.381152359,14,403.57334451127684
444.622295406,19,444.62246163761165
16.1351767138,32,16.135207970754635
509.464472379,19,509.4645574464381
331.493412705,17,318.5291358559025
331.493412705,19,12.964206037614202
153.283271472,17,153.28332250244793
14.2643705142,14,13.62185496282211
2.94664401007,14,2.9465020788313576
186.607532972,14,186.60754165110183
567.388485121,32,567.3885505220168
93.1947025881,17,93.1947034297004
49.6287638905,17,49.62878896325245
170.321011281,33,162.17456101406725
170.321011281,32,8.146395252759682
469.660665388,19,147.7388057170976
469.660665388,21,321.9219235808974
71.5600704902,32,59.02780156206907
312.086612027,61,60.36543837099622
228.779944878,14,228.77993378422428
62.058257144,17,62.05823221800306
358.91807622,32,358.9179016279481
174.258750233,19,174.25876575138952
131.791827562,19,131.79199405247928
25.2422809567,13,17.268779261022758
25.2422809567,17,7.97353766460997
30.0504005929,13,30.05040415100483
34.7054815891,13,34.70542107722332
141.663378663,25,113.1519907176181
62.9974345872,19,62.99744322628976
35.7872806793,25,35.78721868155593
160.048325705,13,160.0484236072341
94.1567004518,19,94.1567199010774
317.614759764,33,279.01051550202754
317.614759764,32,38.60428490307629
35.0582505992,61,35.058252432496076
486.538081209,17,469.6795740860949
486.538081209,19,16.858575651479136
19.6336758145,17,17.81387933860164
19.6336758145,19,1.81985999859683
229.747023212,17,229.74695113097843
340.57683176,13,312.72385716441283
66.4732089,13,66.47325072891937
27.5491330618,13,27.549143486020753
130.95365243,61,130.95361545978784
178.149030578,61,178.1489378367383
160.980723327,61,160.98073160761277
0.0624992458615,61,0.0625
43.565953186,61,43.56597494109553
27.3531567677,61,27.353178609455814
43.5441227813,13,30.3290356586155
43.5441227813,31,13.215122139648296
122.541432453,25,122.54137531423632
54.4841410598,17,54.484149581802725
142.568258556,61,142.56821595428787
22.0358874323,26,22.035926132118696
52.6410282938,26,52.64104406041122
129.18316403,61,129.18316410707692
105.86593118,61,105.86590708699315
741.192509179,25,416.0838647571718
24.7738208944,61,24.77376784979311
114.84641168,26,114.84638284408354
399.17928668,31,394.2418660483995
399.17928668,17,4.937367297832804
