sample_id,watershed,soil_subcomp,soil_plot,subplot_letter,subplot,depth_code,depth_top_cm,depth_bottom_cm,depth,horizon,soil_dw_g,BD_gcm3,core_vol_cm3,core_area_m2,volsoil_area_cm3m2,wtsoil_area_gm2,fine_root_g,fine_root_gm2,soil_C_perc,soil_C_gm2,soil_N_perc,soil_N_gm2,soil_CN,treatment,bd_note
71,WS2,WS2a,12,C,12C,0-20,0.0,20.0,0 to 20,Mineral,345.18,0.927077065,392.69908169872417,0.001963495408493621,200000.0,185415.413,0.8671,465.76772875688044,3.56,6600.7887028,0.16,296.66466080000004,22.25,Diameter-limit,"BD from one core per plot x depth, applied to all subplots"
72,WS2,WS2a,12,C,12C,20-40,20.0,40.0,20 to 40,Mineral,336.25,1.007239349,392.69908169872417,0.001963495408493621,200000.0,201447.86980000001,0.3239,194.04896662667662,1.51,3041.8628339800002,0.07,141.01350886000003,21.57142857142857,Diameter-limit,"BD from one core per plot x depth, applied to all subplots"
73,WS4,WS4a,13,A,13A,0-20,0.0,20.0,0 to 20,Mineral,191.68,0.507493953,392.69908169872417,0.001963495408493621,200000.0,101498.7906,0.8289,438.9208447847453,6.57,6668.47054242,0.39,395.84528334,16.846153846153847,Reference,"BD from one core per plot x depth, applied to all subplots"
74,WS4,WS4a,13,A,13A,20-40,20.0,40.0,20 to 40,Mineral,278.43,0.812462055,392.69908169872417,0.001963495408493621,200000.0,162492.411,0.1896,110.6510114772115,1.24,2014.9058963999998,0.08,129.9939288,15.5,Reference,"BD from one core per plot x depth, applied to all subplots"
75,WS4,WS4a,13,B,13B,0-20,0.0,20.0,0 to 20,Mineral,191.68,0.507493953,392.69908169872417,0.001963495408493621,200000.0,101498.7906,0.2136,113.10591439983305,6.24,6333.52453344,0.38,385.69540428,16.42105263157895,Reference,"BD from one core per plot x depth, applied to all subplots"
76,WS4,WS4a,13,B,13B,20-40,20.0,40.0,20 to 40,Mineral,278.43,0.812462055,392.69908169872417,0.001963495408493621,200000.0,162492.411,0.1121,65.4218269335201,1.9,3087.3558089999997,0.12,194.9908932,15.833333333333334,Reference,"BD from one core per plot x depth, applied to all subplots"
77,WS4,WS4a,13,C,13C,0-20,0.0,20.0,0 to 20,Mineral,191.68,0.507493953,392.69908169872417,0.001963495408493621,200000.0,101498.7906,1.6066,850.730159526085,4.24,4303.54872144,0.3,304.49637179999996,14.133333333333335,Reference,"BD from one core per plot x depth, applied to all subplots"
78,WS4,WS4a,13,C,13C,20-40,20.0,40.0,20 to 40,Mineral,278.43,0.812462055,392.69908169872417,0.001963495408493621,200000.0,162492.411,0.1157,67.52279550587221,0.72,1169.9453592,0.07,113.74468770000001,10.285714285714285,Reference,"BD from one core per plot x depth, applied to all subplots"
79,WS4,WS4a,14,A,14A,0-20,0.0,20.0,0 to 20,Mineral,240.83,0.614834222,392.69908169872417,0.001963495408493621,200000.0,122966.8444,0.522,266.53113306813935,4.83,5939.29858452,0.21,258.23037324,23.0,Reference,"BD from one core per plot x depth, applied to all subplots"
80,WS4,WS4a,14,A,14A,20-40,20.0,40.0,20 to 40,Mineral,360.2,0.95366925,392.69908169872417,0.001963495408493621,200000.0,190733.85,0.0065,3.441893461965575,0.66,1258.84341,0.07,133.513695,9.428571428571429,Reference,"BD from one core per plot x depth, applied to all subplots"
81,WS4,WS4a,14,B,14B,0-20,0.0,20.0,0 to 20,Mineral,240.83,0.614834222,392.69908169872417,0.001963495408493621,200000.0,122966.8444,0.7916,404.18782554930857,3.26,4008.7191274399997,0.17,209.04363548,19.17647058823529,Reference,"BD from one core per plot x depth, applied to all subplots"
82,WS4,WS4a,14,B,14B,20-40,20.0,40.0,20 to 40,Mineral,360.2,0.95366925,392.69908169872417,0.001963495408493621,200000.0,190733.85,0.1369,72.49157152970572,1.14,2174.36589,0.08,152.58708000000001,14.249999999999998,Reference,"BD from one core per plot x depth, applied to all subplots"
83,WS4,WS4a,14,C,14C,0-20,0.0,20.0,0 to 20,Mineral,240.83,0.614834222,392.69908169872417,0.001963495408493621,200000.0,122966.8444,0.3349,170.9986139167047,3.28,4033.3124963199994,0.17,209.04363548,19.294117647058822,Reference,"BD from one core per plot x depth, applied to all subplots"
84,WS4,WS4a,14,C,14C,20-40,20.0,40.0,20 to 40,Mineral,360.2,0.95366925,392.69908169872417,0.001963495408493621,200000.0,190733.85,0.2558,135.45174578012217,1.03,1964.558655,0.08,152.58708000000001,12.875,Reference,"BD from one core per plot x depth, applied to all subplots"
85,WS4,WS4a,15,A,15A,0-20,0.0,20.0,0 to 20,Mineral,269.78,0.743812195,392.69908169872417,0.001963495408493621,200000.0,148762.43899999998,0.5482,302.2891580539699,3.8,5652.972682,0.26,386.78234139999995,14.615384615384615,Reference,"BD from one core per plot x depth, applied to all subplots"
86,WS4,WS4a,15,A,15A,20-40,20.0,40.0,20 to 40,Mineral,207.12,0.62254455,392.69908169872417,0.001963495408493621,200000.0,124508.90999999999,0.1702,102.31467980880647,1.39,1730.6738489999998,0.1,124.50890999999999,13.899999999999999,Reference,"BD from one core per plot x depth, applied to all subplots"
87,WS4,WS4a,15,B,15B,0-20,0.0,20.0,0 to 20,Mineral,269.78,0.743812195,392.69908169872417,0.001963495408493621,200000.0,148762.43899999998,0.299,164.87496946030097,1.58,2350.4465362,0.14,208.2674146,11.285714285714285,Reference,"BD from one core per plot x depth, applied to all subplots"
88,WS4,WS4a,15,B,15B,20-40,20.0,40.0,20 to 40,Mineral,207.12,0.62254455,392.69908169872417,0.001963495408493621,200000.0,124508.90999999999,,,0.72,896.4641519999999,0.07,87.156237,10.285714285714285,Reference,"BD from one core per plot x depth, applied to all subplots"
89,WS4,WS4a,15,C,15C,0-20,0.0,20.0,0 to 20,Mineral,269.78,0.743812195,392.69908169872417,0.001963495408493621,200000.0,148762.43899999998,0.854,470.913792371562,4.02,5980.250047799998,0.29,431.4110730999999,13.86206896551724,Reference,"BD from one core per plot x depth, applied to all subplots"
90,WS4,WS4a,15,C,15C,20-40,20.0,40.0,20 to 40,Mineral,207.12,0.62254455,392.69908169872417,0.001963495408493621,200000.0,124508.90999999999,0.258,155.09510805330243,2.29,2851.254039,0.19,236.566929,12.052631578947368,Reference,"BD from one core per plot x depth, applied to all subplots"
91,WS4,WS4a,16,A,16A,0-20,0.0,20.0,0 to 20,Mineral,285.7,0.78770533,392.69908169872417,0.001963495408493621,200000.0,157541.066,0.475,261.925118480924,6.97,10980.612300199999,0.46,724.6889036,15.152173913043477,Reference,"BD from one core per plot x depth, applied to all subplots"
92,WS4,WS4a,16,A,16A,20-40,20.0,40.0,20 to 40,Mineral,302.52,0.882756961,392.69908169872417,0.001963495408493621,200000.0,176551.3922,0.0501,29.238479271519243,4.02,7097.365966439998,0.26,459.03361972,15.46153846153846,Reference,"BD from one core per plot x depth, applied to all subplots"
93,WS4,WS4a,16,B,16B,0-20,0.0,20.0,0 to 20,Mineral,285.7,0.78770533,392.69908169872417,0.001963495408493621,200000.0,157541.066,0.9021,497.4371565929296,2.85,4489.920381,0.18,283.5739188,15.833333333333334,Reference,"BD from one core per plot x depth, applied to all subplots"
94,WS4,WS4a,16,B,16B,20-40,20.0,40.0,20 to 40,Mineral,302.52,0.882756961,392.69908169872417,0.001963495408493621,200000.0,176551.3922,0.0105,6.127824997024991,1.1,1942.0653142,0.1,176.5513922,11.0,Reference,"BD from one core per plot x depth, applied to all subplots"
95,WS4,WS4a,16,C,16C,0-20,0.0,20.0,0 to 20,Mineral,285.7,0.78770533,392.69908169872417,0.001963495408493621,200000.0,157541.066,0.2725,150.26230481274064,3.84,6049.576934399999,0.29,456.86909139999995,13.241379310344827,Reference,"BD from one core per plot x depth, applied to all subplots"
96,WS4,WS4a,16,C,16C,20-40,20.0,40.0,20 to 40,Mineral,302.52,0.882756961,392.69908169872417,0.001963495408493621,200000.0,176551.3922,0.0148,8.637315233901893,1.45,2559.9951868999997,0.11,194.20653142,13.181818181818182,Reference,"BD from one core per plot x depth, applied to all subplots"
97,WS4,WS4a,17,A,17A,0-20,0.0,20.0,0 to 20,Mineral,250.02,0.653307029,392.69908169872417,0.001963495408493621,200000.0,130661.40580000001,0.8276,432.50691720694346,7.28,9512.150342240002,0.47,614.10860726,15.489361702127662,Reference,"BD from one core per plot x depth, applied to all subplots"
98,WS4,WS4a,17,A,17A,20-40,20.0,40.0,20 to 40,Mineral,220.97,0.754939164,392.69908169872417,0.001963495408493621,200000.0,150987.8328,0.0476,32.52487143630358,1.1,1660.8661608000002,0.08,120.79026624000001,13.75,Reference,"BD from one core per plot x depth, applied to all subplots"
99,WS4,WS4a,17,B,17B,0-20,0.0,20.0,0 to 20,Mineral,250.02,0.653307029,392.69908169872417,0.001963495408493621,200000.0,130661.40580000001,0.2008,104.93884603087754,6.56,8571.38822048,0.42,548.77790436,15.619047619047619,Reference,"BD from one core per plot x depth, applied to all subplots"
100,WS4,WS4a,17,B,17B,20-40,20.0,40.0,20 to 40,Mineral,221.0,0.754939164,392.69908169872417,0.001963495408493621,200000.0,150987.8328,0.0008,0.5465622906787331,3.68,5556.35224704,0.23,347.27201544,16.0,Reference,"BD from one core per plot x depth, applied to all subplots"
