Id,Biomass,POINT_X,POINT_Y,SHAPE@X,SHAPE@Y
0,271,613069.57148,4323949.55366,613069.5714999996,4323949.5537
0,493,613014.405745,4323945.18803,613014.4057,4323945.187999999
0,312,612986.624439,4323914.62859,612986.6244000001,4323914.6285999995
0,208,613017.580751,4323884.06916,613017.5807999996,4323884.0692
0,595,613063.618343,4323892.80042,613063.6183000002,4323892.8004
0,279,613108.068432,4323863.43161,613108.0684000002,4323863.431600001
0,394,613069.968356,4323829.3003,613069.9683999997,4323829.3003
0,335,613119.57783,4323814.21902,613119.5778000001,4323814.2190000005
0,400,613153.709148,4323846.76283,613153.7090999996,4323846.762800001
0,315,613214.034269,4323838.82532,613214.0343000004,4323838.825300001
0,453,613260.534883,4323824.2732,613260.5349000003,4323824.2732
0,409,613182.218059,4323799.40232,613182.2181000002,4323799.4023
0,386,613242.54318,4323765.53559,613242.5432000002,4323765.535599999
0,184,613301.280798,4323818.98153,613301.2807999998,4323818.9815
0,302,613311.334984,4323747.54388,613311.335,4323747.5439
0,237,613372.189273,4323731.66885,613372.1892999997,4323731.6689
0,269,613385.418466,4323780.35228,613385.4184999997,4323780.352299999
0,280,613421.931039,4323742.78137,613421.9309999999,4323742.781400001
0,284,613471.143637,4323729.02301,613471.1436000001,4323729.023
0,353,613397.060156,4323687.21876,613397.0602000002,4323687.218800001
0,242,613483.843663,4323690.92294,613483.8437000001,4323690.922900001
0,310,613531.997926,4323694.62711,613531.9978999998,4323694.6271
0,291,613542.58128,4323650.70619,613542.5812999997,4323650.7062
0,341,613457.914444,4323637.477,613457.9144000001,4323637.477
0,106,613519.827068,4323604.6686,613519.8271000003,4323604.6686
0,260,613541.522945,4323551.75182,613541.5229000002,4323551.751800001
0,452,613518.239565,4323513.12258,613518.2396,4323513.1226
0,164,613471.143637,4323526.88094,613471.1436000001,4323526.880899999
0,424,613472.201973,4323578.73938,613472.2019999996,4323578.739399999
0,341,613372.189273,4323525.82261,613372.1892999997,4323525.8226
0,484,613312.922488,4323492.48504,613312.9225000003,4323492.484999999
0,358,613226.668148,4323482.96002,613226.6681000004,4323482.960000001
0,229,613260.534883,4323541.16847,613260.5349000003,4323541.168500001
0,275,613188.038904,4323529.52678,613188.0389,4323529.526799999
0,362,613316.097494,4323578.73938,613316.0975000001,4323578.739399999
0,273,613333.030861,4323623.18947,613333.0308999997,4323623.1895
0,303,613382.24346,4323641.71034,613382.2434999999,4323641.7103
0,332,613317.155829,4323685.10209,613317.1557999998,4323685.1021
0,446,613238.309838,4323704.15213,613238.3097999999,4323704.1521000005
0,378,613249.422361,4323629.01031,613249.4223999996,4323629.010299999
0,321,613231.430658,4323585.08939,613231.4307000004,4323585.089400001
0,290,613067.917831,4323494.60171,613067.9177999999,4323494.6017
0,444,613097.551223,4323515.23925,613097.5511999996,4323515.2393
0,164,613038.284438,4323560.21851,613038.2844000002,4323560.2184999995
0,486,613083.263695,4323570.2727,613083.2637,4323570.272700001
0,355,613122.422107,4323591.4394,613122.4221000001,4323591.4394000005
0,412,613148.880493,4323630.59782,613148.8805,4323630.5978
0,490,613190.684743,4323609.43111,613190.6847000001,4323609.4311
0,427,613192.801414,4323652.29369,613192.8014000002,4323652.2937
0,274,613120.305436,4323648.58952,613120.3054,4323648.589500001
0,274,613056.805309,4323631.12698,613056.8053000001,4323631.127
0,531,612999.655194,4323657.58537,612999.6551999999,4323657.5854
0,330,613001.771865,4323706.79797,613001.7719,4323706.798
0,339,613085.380366,4323707.8563,613085.3804000001,4323707.8563
0,334,613106.017907,4323694.62711,613106.0179000003,4323694.6271
0,347,613152.055499,4323708.38547,613152.0554999998,4323708.385500001
0,301,613121.363771,4323738.54803,613121.3638000004,4323738.548
0,255,613196.505588,4323736.43136,613196.5055999998,4323736.431399999
0,423,613075.326179,4323774.00227,613075.3262,4323774.0023
0,417,613016.059394,4323796.75648,613016.0593999997,4323796.7565
0,343,612988.542672,4323753.36473,612988.5427000001,4323753.364700001
0,206,612960.496783,4323768.71059,612960.4967999998,4323768.7106
0,216,612949.913428,4323833.26905,612949.9134,4323833.269099999
0,315,613001.771865,4323845.96908,613001.7719,4323845.9691
0,216,613446.507955,4323808.87018,613446.5080000004,4323808.870200001
0,269,613485.269222,4323770.42663,613485.2692,4323770.4266
