CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,TRANSECT,SUBP,SMPLOCCD,MEASYEAR,CONDID,DUFFDEP,LITTDEP,FUELDEP,CREATED_DATE,MODIFIED_DATE,DLF_SAMPLE_METHOD,DUFF_METHOD,DUFF_NONSAMPLE_REASN_CD,LITTER_METHOD,LITTER_NONSAMPLE_REASN_CD,FUELBED_METHOD,FUELBED_NONSAMPLE_REASN_CD,DL_STATUS_CD
56706986010538,60266401010538,2004,54,7,1744,30,4,2,2004,1,0.5,1.5,1.5,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56706959010538,60266401010538,2004,54,7,1744,150,1,2,2004,1,0.0,0.3,0.1,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56706970010538,60266401010538,2004,54,7,1744,150,2,2,2004,1,0.2,0.9,0.1,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56706979010538,60266401010538,2004,54,7,1744,150,3,2,2004,1,0.8,1.4,0.2,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56706990010538,60266401010538,2004,54,7,1744,150,4,2,2004,1,0.3,1.2,0.1,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56706964010538,60266401010538,2004,54,7,1744,270,1,2,2004,1,1.6,1.8,5.2,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56706972010538,60266401010538,2004,54,7,1744,270,2,2,2004,1,0.2,0.5,5.1,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56706982010538,60266401010538,2004,54,7,1744,270,3,2,2004,1,0.9,1.8,0.2,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56706993010538,60266401010538,2004,54,7,1744,270,4,2,2004,1,0.2,0.9,0.1,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56707265010538,60267085010538,2004,54,11,797,30,1,2,2004,1,1.0,1.4,0.2,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56707273010538,60267085010538,2004,54,11,797,30,2,2,2004,1,0.2,0.6,0.1,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56707281010538,60267085010538,2004,54,11,797,30,3,2,2004,1,0.0,0.3,0.1,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
42802076020004,60267085010538,2004,54,11,797,30,4,2,2004,2,,,,2012-06-06 07:13:26,2014-05-14 15:57:43,2,0,,0,,0,,
56707268010538,60267085010538,2004,54,11,797,150,1,2,2004,1,0.4,0.4,0.1,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56707276010538,60267085010538,2004,54,11,797,150,2,2,2004,1,0.1,1.8,1.5,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56707284010538,60267085010538,2004,54,11,797,150,3,2,2004,1,0.5,1.2,0.1,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
42802075020004,60267085010538,2004,54,11,797,150,4,2,2004,2,,,,2012-06-06 07:13:26,2014-05-14 15:57:43,2,0,,0,,0,,
56707270010538,60267085010538,2004,54,11,797,270,1,2,2004,1,0.1,0.1,0.1,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56707278010538,60267085010538,2004,54,11,797,270,2,2,2004,1,0.5,1.7,0.2,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
56707286010538,60267085010538,2004,54,11,797,270,3,2,2004,1,0.0,1.9,4.3,2005-10-31 11:59:18,2014-05-14 15:56:42,2,1,,1,,1,,
42802077020004,60267085010538,2004,54,11,797,270,4,2,2004,2,,,,2012-06-06 07:13:26,2014-05-14 15:57:43,2,0,,0,,0,,
