CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,CONDID,COND_STATUS_CD,COND_NONSAMPLE_REASN_CD,RESERVCD,OWNCD,OWNGRPCD,ADFORCD,FORTYPCD,FLDTYPCD,MAPDEN,STDAGE,STDSZCD,FLDSZCD,SITECLCD,SICOND,SIBASE,SISP,STDORGCD,STDORGSP,PROP_BASIS,CONDPROP_UNADJ,MICRPROP_UNADJ,SUBPPROP_UNADJ,MACRPROP_UNADJ,SLOPE,ASPECT,PHYSCLCD,GSSTKCD,ALSTKCD,DSTRBCD1,DSTRBYR1,DSTRBCD2,DSTRBYR2,DSTRBCD3,DSTRBYR3,TRTCD1,TRTYR1,TRTCD2,TRTYR2,TRTCD3,TRTYR3,PRESNFCD,BALIVE,FLDAGE,ALSTK,GSSTK,FORTYPCDCALC,HABTYPCD1,HABTYPCD1_PUB_CD,HABTYPCD1_DESCR_PUB_CD,HABTYPCD2,HABTYPCD2_PUB_CD,HABTYPCD2_DESCR_PUB_CD,MIXEDCONFCD,VOL_LOC_GRP,SITECLCDEST,SITETREE_TREE,SITECL_METHOD,CARBON_DOWN_DEAD,CARBON_LITTER,CARBON_SOIL_ORG,CARBON_UNDERSTORY_AG,CARBON_UNDERSTORY_BG,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE,SOIL_ROOTING_DEPTH_PNW,GROUND_LAND_CLASS_PNW,PLANT_STOCKABILITY_FACTOR_PNW,STND_COND_CD_PNWRS,STND_STRUC_CD_PNWRS,STUMP_CD_PNWRS,FIRE_SRS,GRAZING_SRS,HARVEST_TYPE1_SRS,HARVEST_TYPE2_SRS,HARVEST_TYPE3_SRS,LAND_USE_SRS,OPERABILITY_SRS,STAND_STRUCTURE_SRS,NF_COND_STATUS_CD,NF_COND_NONSAMPLE_REASN_CD,CANOPY_CVR_SAMPLE_METHOD_CD,LIVE_CANOPY_CVR_PCT,LIVE_MISSING_CANOPY_CVR_PCT,NBR_LIVE_STEMS,OWNSUBCD,INDUSTRIALCD_FIADB,RESERVCD_5,ADMIN_WITHDRAWN_CD,CHAINING_CD,LAND_COVER_CLASS_CD_RET,AFFORESTATION_CD,PREV_AFFORESTATION_CD,DWM_FUELBED_TYPCD,NVCS_PRIMARY_CLASS,NVCS_LEVEL_1_CD,NVCS_LEVEL_2_CD,NVCS_LEVEL_3_CD,NVCS_LEVEL_4_CD,NVCS_LEVEL_5_CD,NVCS_LEVEL_6_CD,NVCS_LEVEL_7_CD,NVCS_LEVEL_8_CD,AGE_BASIS_CD_PNWRS,COND_STATUS_CHNG_CD_RMRS,CRCOVPCT_RMRS,DOMINANT_SPECIES1_PNWRS,DOMINANT_SPECIES2_PNWRS,DOMINANT_SPECIES3_PNWRS,DSTRBCD1_P2A,DSTRBCD2_P2A,DSTRBCD3_P2A,DSTRBYR1_P2A,DSTRBYR2_P2A,DSTRBYR3_P2A,FLDTYPCD_30,FOREST_COMMUNITY_PNWRS,LAND_USECD_RMRS,MAICF,PCTBARE_RMRS,QMD_RMRS,RANGETYPCD_RMRS,SDIMAX_RMRS,SDIPCT_RMRS,SDI_RMRS,STAND_STRUCTURE_ME_NERS,TREES_PRESENT_NCRS,TREES_PRESENT_NERS,TRTCD1_P2A,TRTCD2_P2A,TRTCD3_P2A,TRTOPCD,TRTYR1_P2A,TRTYR2_P2A,TRTYR3_P2A,LAND_COVER_CLASS_CD,SIEQN_REF_CD,SICOND_FVS,SIBASE_FVS,SISP_FVS,SIEQN_REF_CD_FVS,MQUADPROP_UNADJ,SOILPROP_UNADJ,FOREST_COND_STATUS_CHANGE_CD
661278382126144,465275828489998,2018,54,3,67,1219,1,5,2,,,,,,,,,,,,,,,,,SUBP,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S24,,,,,,,,,2019-05-10 08:02:24,2026-06-25 08:35:33,8,5,,,,,,,,,,,,,,,,,1,90,90,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661279492126144,465275840489998,2018,54,2,77,1062,1,5,2,,,,,,,,,,,,,,,,,SUBP,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S24,,,,,,,,,2019-05-10 08:02:24,2026-06-25 08:35:33,8,5,,,,,,,,,,,,,,,,,1,90,90,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661279808126144,465275848489998,2018,54,3,67,642,1,2,,,,,,,,,,,,,,,,,,SUBP,0.75,0.75,0.75,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,S24,,,,,,,,,2019-05-10 08:02:24,2026-06-25 08:35:33,8,5,,,,,,,,,,,,,,,,,1,1,1,,,,,,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661279809126144,465275848489998,2018,54,3,67,642,2,1,,0,46,40,,805,505,1,11,3,1,6,,,,0,,SUBP,0.25,0.25,0.25,,60,78,22,3,3,0,,0,,0,,0,,0,,0,,,0.0,11,40.6056,40.6056,805,,,,,,,,S24,6,,6,2.501833,2.511374,63.220059,0.833393,0.092599,2019-05-10 08:02:24,2026-07-06 08:30:36,8,5,,,,,,,,,,,,,,,,,1,45,45,,,,,,0,1,0,0,,NATURAL,-1,-1.-1,-1.-1.-1,-1.-1.-1.-1,-1.-1.-1.-1.-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661279852126144,465275849489998,2018,54,3,15,582,1,1,,0,46,40,,515,519,1,53,1,3,5,79,50,316,0,,SUBP,1.0,1.0,1.0,,27,299,22,3,3,0,,0,,0,,0,,0,,0,,,147.6407,53,59.6442,59.6412,515,,,,,,,,S24,6,1,1,9.509713,3.110006,53.366647,0.688847,0.076539,2019-05-10 08:02:24,2026-07-06 08:30:36,8,5,,,,,,,,,,,,,,,,,1,90,90,,,,,,0,1,0,0,,NATURAL,1,1.B,1.B.2,1.B.2.Na,1.B.2.Na.M502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,50,316,ACRU02,,,
661279953126144,465275852489998,2018,54,3,67,890,1,1,,0,46,40,,502,515,1,94,1,2,4,85,50,832,0,,SUBP,0.5,0.5,0.5,,0,0,21,2,2,0,,0,,0,,0,,0,,0,,,157.5868,94,86.5432,85.8487,502,,,,,,,,S24,6,1,1,8.853355,3.361129,60.158041,0.691158,0.076795,2019-05-10 08:02:25,2026-07-06 08:30:36,8,5,,,,,,,,,,,,,,,,,1,90,90,,,,,,0,1,0,0,,NATURAL,1,1.B,1.B.2,1.B.2.Na,1.B.2.Na.M502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,50,832,QUPR01,,,
661279954126144,465275852489998,2018,54,3,67,890,2,5,3,,,,,,,,,,,,,,,,,SUBP,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S24,,,,,,,,,2019-05-10 08:02:25,2026-06-25 08:35:34,8,5,,,,,,,,,,,,,,,,,1,90,90,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661280010126144,465275853489998,2018,54,3,67,2290,1,5,2,,,,,,,,,,,,,,,,,SUBP,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S24,,,,,,,,,2019-05-10 08:02:25,2026-06-25 08:35:33,8,5,,,,,,,,,,,,,,,,,1,90,90,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661280141126144,465275856489998,2018,54,3,19,460,1,5,3,,,,,,,,,,,,,,,,,SUBP,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S24,,,,,,,,,2019-05-10 08:02:25,2026-06-25 08:35:34,8,5,,,,,,,,,,,,,,,,,1,90,90,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661280539126144,465275868489998,2018,54,2,1,1343,1,1,,0,46,40,,706,520,1,29,3,2,4,88,50,621,0,,SUBP,1.0,1.0,1.0,,27,9,23,2,2,60,9999,0,,0,,0,,0,,0,,,15.4314,29,66.7169,60.3752,706,,,,,,,,S24,6,1,2,1.136632,2.108554,45.674385,0.77993,0.086659,2019-05-10 08:02:25,2026-07-06 08:30:36,8,5,,,,,,,,,,,,,,,,,1,65,65,,,,,,0,1,0,0,,NATURAL,1,1.B,1.B.2,1.B.2.Na,1.B.2.Na.M013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,50,621,LITU09,,,
